station_id,lat,lon,area
09260050,40.451643,-108.525113,7931
09260000,40.549019,-108.424336,4034
09251000,40.502752,-108.033432,3383
09247600,40.48081,-107.614251,2128.3
09244490,40.517937,-107.398955,1580
4400694,40.473052,-107.991804,888
09239500,40.482993,-106.832437,567
09242500,40.514702,-106.953953,448
09249750,40.437195,-107.647855,419
09253000,40.999414,-107.143402,252.5
09237500,40.286554,-106.829061,225.2
09241000,40.717481,-106.91589,216
5804213,40.285195,-106.831836,200
5800940,40.551241,-106.896002,179.2
09246200,40.591648,-107.320907,171
09255000,40.98247,-107.382853,161
09249000,40.312482,-107.320072,150
5402076,40.780072,-107.084963,142
5402076,40.780072,-107.084963,142
4401451,40.106227,-107.203566,140
5803631,40.364651,-106.800857,125
5701009,40.148699,-107.136464,102.3
5701009,40.148699,-107.136464,102.3
5802219,40.77001,-106.773618,100
4400692,40.145523,-107.647111,84
5803787,40.791284,-106.945887,80
MORBSCCO,40.245525,-106.786656,71.9
5803913,40.248175,-106.787172,70
5802290,40.181887,-107.110879,68
09245000,40.669703,-107.28507,64.2
5802409,40.12445,-106.892515,58
09249200,40.212207,-107.442853,46.7
4400585,40.194401,-107.451682,43.6
5801869,40.224971,-106.782307,41.2
09246920,40.743862,-107.540908,40
5802214,40.063068,-107.049509,40
4400647,40.78178,-107.496483,39.5
5700612,40.277966,-107.16237,38.35
5700544,40.27849,-107.173301,38.35
5800687,40.418319,-106.770806,37
5601272,40.834831,-109.037826,35
4400652,40.320412,-107.40329,29.7
4400726,40.204879,-107.570295,28
4400573,40.74309,-107.383783,27.5
09238900,40.474985,-106.787004,25.6
09258000,40.915528,-107.521743,24.4
5400554,40.888849,-107.48942,24
4400524,40.219725,-107.811112,22.8
09236000,40.043879,-107.072283,22.1
5803540,40.026758,-107.124251,22
09245500,40.680531,-107.287298,21
5800640,40.66774,-106.858532,20.5
5802306,40.272507,-106.642515,20
4400716,40.260553,-107.589851,20
5802403,40.346397,-106.738617,18
5801085,40.137125,-107.035348,18
5800540,40.101633,-106.998544,18
4400785,40.689812,-107.348582,16.1
5802311,40.570057,-106.699964,15.4
5800826,40.091076,-106.933218,15
4400614,40.698842,-107.27648,14.4
5800917,40.647825,-107.02134,12.7
5800731,40.182017,-106.881382,12
4401454,40.176267,-107.503452,12
4401454,40.176267,-107.503452,12
5800665,40.185011,-107.043744,11.23
5803500,40.160561,-107.040721,11
5802245,40.305011,-106.689452,10
4400533,40.678484,-107.299237,8.9
5800811,40.80763,-107.001359,8.8
5800590,40.643474,-107.032101,8.6
4400644,40.329059,-107.541494,8
5802254,40.587793,-106.777833,7.7
5802216,40.011848,-107.050787,6
5802304,40.74073,-107.009608,5.4
4400998,40.704225,-107.458785,5.1
4400750,40.40468,-107.681763,5
5803508,40.493781,-106.705636,4.89
5803521,40.779421,-106.888969,4.7
5802291,40.445282,-106.766679,3.7
4400518,40.162403,-107.733557,3.2
5800532,40.193948,-106.784467,2.1
